,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma,stationarity,noise_type
79,0.50471383,-0.3968127,-0.054401394,0.30681708,0.5239747,0.03390629,0.009845143,-0.03497098,0.49532297,1,0
80,-0.38445932,0.8113122,0.10500928,-0.8209231,-0.3274029,-0.011610995,0.028017618,-0.0982023,0.7989936,0,1
81,0.6278148,-0.3372557,-0.050154444,0.27994552,0.6454114,0.040415,0.02094834,-0.055726543,0.57575566,1,1
82,-0.5827892,-0.16444206,0.035758212,0.15649492,-0.6356231,-0.040641874,0.048233483,-0.037660815,0.5438436,0,2
83,-0.39042705,-0.38117757,0.01601299,0.3722969,-0.58463424,-0.029168386,0.03442199,-0.031563893,0.54014504,1,2
84,-0.38743365,0.77823645,0.0991464,-0.7848931,-0.3160142,-0.016106624,0.020759966,-0.0972844,0.74255913,0,0
85,0.28177515,-0.4244435,-0.0088089015,0.58427745,0.33293355,0.04745838,-0.028517408,-0.015706005,0.46835446,1,0
86,-0.4406385,0.7934844,0.08250507,-0.79753006,-0.3911509,0.0023883611,0.035223514,-0.07151751,0.81356144,0,1
87,0.41263747,-0.48924,-0.022526134,0.5960049,0.44200465,0.040028896,-0.01303543,-0.028727677,0.5671283,1,1
88,-0.574833,-0.49010482,0.00010904217,0.4947532,-0.6472882,-0.072724596,0.04020216,-0.056079578,0.7191276,0,2
89,-0.348866,-0.65546846,0.010368922,0.6527338,-0.50248826,-0.054527704,0.056208845,-0.028866107,0.7113817,1,2
90,-0.48967916,0.72570777,0.10399786,-0.7269628,-0.43693084,-0.010107906,0.038119655,-0.09287345,0.7509049,0,0
91,0.43631944,-0.48523536,-0.041275837,0.3041156,0.5115156,0.056874096,-0.008888546,-0.04942499,0.48576766,1,0
92,-0.51790535,0.74895006,0.10270418,-0.7593663,-0.47810066,-0.018672314,0.03862837,-0.095236965,0.82599163,0,1
93,0.52807987,-0.5023097,-0.062548265,0.38205788,0.5929166,0.05583594,0.01238588,-0.07420056,0.5967601,1,1
94,0.06563637,-0.028333422,0.014814164,0.04638864,-0.021648094,-0.0006870245,0.014261485,0.007890211,0.15880415,0,2
95,0.14657834,-0.0971272,-0.001629242,0.11122715,-0.056671493,0.0073631774,0.01438889,-0.020080602,0.2646215,1,2
96,-0.4290765,0.7603898,0.091227196,-0.7654213,-0.3703786,0.0073873745,0.04039,-0.07870751,0.75154716,0,0
97,0.14725998,0.8047649,0.07375316,-0.6912212,0.15192157,0.0096257,-0.013595488,-0.06906173,0.61337847,1,0
98,-0.47680402,0.7767073,0.09699482,-0.7782859,-0.42832944,-0.026587026,0.023881566,-0.09576775,0.81755584,0,1
99,0.15270977,0.8500269,0.08533393,-0.7685989,0.16398562,-0.00342614,-0.025543557,-0.079292044,0.7050045,1,1
100,-0.5897941,-0.42268187,0.021823153,0.41631886,-0.66427505,-0.044786837,0.049588893,-0.030114256,0.6859975,0,2
101,-0.38110584,-0.6065264,-0.010125192,0.6040231,-0.53343874,-0.05548669,0.027495561,-0.03088244,0.685039,1,2
102,-0.38557193,0.7802824,0.077290624,-0.7858996,-0.30863371,-0.011581059,0.013506355,-0.068334356,0.7401972,0,0
103,0.46055707,0.4974083,0.009513711,-0.5955214,0.47254357,0.045996327,0.017043134,-0.03348297,0.5625998,1,0
104,-0.43387413,0.7918858,0.09376185,-0.79560405,-0.37511796,0.0019951428,0.041181277,-0.08167687,0.8015435,0,1
105,0.46201247,0.607103,0.022733815,-0.6580345,0.47661477,0.055197984,0.013960906,-0.050813135,0.65441203,1,1
106,-0.28200015,0.11196101,0.020760061,-0.105336525,-0.2343856,-0.012772443,-0.0010534411,-0.011201571,0.24085805,0,2
107,-0.19560365,-0.078550875,0.03138063,0.07571407,-0.34044605,-0.018903317,0.037077624,-0.020308428,0.2922512,1,2
108,-0.44612575,0.75432694,0.096181706,-0.75884134,-0.38758218,-0.012523423,0.02585795,-0.091067106,0.75644165,0,0
109,-0.34154928,0.6892043,0.05722503,-0.8182466,-0.28056887,-0.013138911,-0.001878429,-0.058812786,0.67607886,1,0
110,-0.4813796,0.774117,0.10216044,-0.7768359,-0.441636,-0.029455552,0.02178749,-0.102301806,0.82294387,0,1
111,-0.3458663,0.76230913,0.056701038,-0.8497649,-0.29229763,0.016344469,0.0283141,-0.045250826,0.76156914,1,1
112,-0.3802645,0.10416211,0.018933218,-0.0954234,-0.36015978,-0.024670709,0.0037083905,-0.032725763,0.33725148,0,2
113,-0.27936316,-0.12956801,0.015948093,0.11691949,-0.44530907,-0.023606496,0.031194068,-0.04400299,0.35277092,1,2
114,-0.36257952,0.7938385,0.08206452,-0.79165506,-0.29189712,0.019222695,0.039308988,-0.066879086,0.7427342,0,0
115,0.20900041,-0.60651064,-0.071253665,0.47048396,0.2647715,0.019804567,0.009859881,-0.0597313,0.4674581,1,0
116,-0.41286987,0.8022646,0.09738607,-0.80917436,-0.36489558,-0.0007814951,0.035387598,-0.08656839,0.8082311,0,1
117,0.3219355,-0.64807045,-0.07497488,0.55981827,0.37125862,0.030536562,0.007840879,-0.06715158,0.58119386,1,1
118,-0.59961027,-0.3453126,0.024013609,0.33747944,-0.6670805,-0.05813882,0.05745453,-0.04330557,0.6409882,0,2
119,-0.39761984,-0.54059666,-0.0034971172,0.53252935,-0.571034,-0.05992649,0.042749133,-0.0373989,0.64239955,1,2
120,-0.42968002,0.7567397,0.10549415,-0.76413757,-0.36479563,-0.0042311875,0.03784484,-0.094033755,0.7437215,0,0
121,0.43725315,-0.3356736,0.014998661,0.4916459,0.4820868,0.061581697,-0.044553433,-0.020655759,0.49128726,1,0
122,-0.46874544,0.7828003,0.09828415,-0.78373605,-0.42470098,-0.0035465101,0.03957096,-0.086844765,0.8214511,0,1
123,0.5428766,-0.37375724,0.016023912,0.48482594,0.58599573,0.052154,-0.040016465,-0.023057824,0.58436686,1,1
124,-0.59798306,-0.4300107,0.00885796,0.43429318,-0.6688099,-0.04020115,0.038550925,-0.025962701,0.69809693,0,2
125,-0.37249324,-0.6009258,-0.030917633,0.58560795,-0.53879154,-0.05489981,0.019774964,-0.04699418,0.676003,1,2
126,-0.4821097,0.7299804,0.08258637,-0.7371445,-0.42328376,-0.014868739,0.024634313,-0.078110784,0.75251734,0,0
127,0.53502876,0.5004214,0.05731504,-0.39261118,0.55910367,0.058893923,-0.01186457,-0.068792954,0.5576963,1,0
128,-0.5101934,0.75059736,0.09972617,-0.7574856,-0.46835214,-0.0031375566,0.048841335,-0.086940736,0.81642705,0,1
129,0.5830758,0.5464544,0.040095232,-0.47191456,0.6049375,0.031653892,-0.014369193,-0.043861095,0.65809745,1,1
130,-0.60481733,-0.3423668,-0.010397623,0.3557695,-0.669037,-0.05094146,0.015033532,-0.04587651,0.6465946,0,2
131,-0.3914792,-0.5289108,0.002964598,0.5315464,-0.56707233,-0.056678012,0.03995736,-0.032552186,0.64049333,1,2
132,-0.50233257,0.7160899,0.095887385,-0.7242704,-0.45977518,-0.028157797,0.026047882,-0.09595696,0.7594364,0,0
133,0.2737438,0.7531441,0.073816165,-0.63749444,0.2775778,0.006335907,-0.025611311,-0.059560396,0.59836614,1,0
